OjoIzquierdo,OjoDerecho,ObjetoEnfocado,PosicionObjeto,Timestamp
"(0.599, 0.315, 0.000)","(0.574, 0.301, 0.000)",Enfocado,"(0.90, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8830
"(0.594, 0.317, 0.000)","(0.573, 0.299, 0.000)",Enfocado,"(0.95, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:8975
"(0.576, 0.315, 0.000)","(0.554, 0.293, 0.000)",Enfocado,"(0.99, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9114
"(0.574, 0.315, 0.000)","(0.549, 0.289, 0.000)",Enfocado,"(1.05, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9251
"(0.577, 0.316, 0.000)","(0.550, 0.290, 0.000)",Enfocado,"(1.10, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9391
"(0.576, 0.315, 0.000)","(0.551, 0.290, 0.000)",Enfocado,"(1.15, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9526
"(0.576, 0.315, 0.000)","(0.551, 0.290, 0.000)",Enfocado,"(1.19, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9663
"(0.575, 0.315, 0.000)","(0.551, 0.291, 0.000)",Enfocado,"(1.24, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9806
"(0.574, 0.315, 0.000)","(0.551, 0.291, 0.000)",Enfocado,"(1.28, 1.40, 5.87)",2023 / 08 / 09 08: 54:11:9949
"(0.574, 0.315, 0.000)","(0.550, 0.291, 0.000)",Enfocado,"(1.33, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0091
"(0.574, 0.315, 0.000)","(0.549, 0.291, 0.000)",Enfocado,"(1.38, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0227
"(0.575, 0.315, 0.000)","(0.551, 0.290, 0.000)",Enfocado,"(1.43, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0369
"(0.575, 0.315, 0.000)","(0.551, 0.290, 0.000)",Enfocado,"(1.48, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0506
"(0.573, 0.313, 0.000)","(0.549, 0.290, 0.000)",Enfocado,"(1.53, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0644
"(0.574, 0.312, 0.000)","(0.550, 0.289, 0.000)",Enfocado,"(1.57, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0786
"(0.574, 0.312, 0.000)","(0.549, 0.289, 0.000)",Enfocado,"(1.62, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:0926
"(0.572, 0.313, 0.000)","(0.547, 0.288, 0.000)",Enfocado,"(1.67, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:1065
"(0.552, 0.312, 0.000)","(0.531, 0.283, 0.000)",Enfocado,"(1.72, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:1199
"(0.552, 0.312, 0.000)","(0.531, 0.283, 0.000)",Enfocado,"(1.77, 1.40, 5.87)",2023 / 08 / 09 08: 54:12:1339
